FMTNAME,START,LABEL,city,state
I94PRTL,ELM,"REGIONAL ARPT - HORSEHEAD, NY",REGIONAL ARPT - HORSEHEAD, NY
I94PRTL,ELP,"EL PASO, TX",EL PASO, TX
I94PRTL,ELY,"ELY, MN",ELY, MN
I94PRTL,ENS,"ENSENADA, PR",ENSENADA, PR
I94PRTL,EPI,"EASTPORT, ID",EASTPORT, ID
I94PRTL,EPM,"EASTPORT, ME",EASTPORT, ME
I94PRTL,EPT,"EASTPORT MUNICIPAL, ME",EASTPORT MUNICIPAL, ME
I94PRTL,ERC,"EAST RICHFORD, VT",EAST RICHFORD, VT
I94PRTL,ERI,"ERIE, PA",ERIE, PA
I94PRTL,EST,"EASTCOURT, ME",EASTCOURT, ME
I94PRTL,EUR,"EUREKA, MT (BPS)",EUREKA, MT (BPS)
I94PRTL,EVE,"EVERETT, WA",EVERETT, WA
I94PRTL,EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA",BUENOS AIRES, MINISTRO PIST
I94PRTL,FAB,"FABENS, TX",FABENS, TX
I94PRTL,FAJ,"FAJARDO, PR",FAJARDO, PR
I94PRTL,FAL,"FALCON HEIGHTS, TX",FALCON HEIGHTS, TX
I94PRTL,FAR,"FARGO, ND",FARGO, ND
I94PRTL,FAY,"FAYETTEVILLE, NC",FAYETTEVILLE, NC
I94PRTL,FBA,"FREEPORT, BAHAMAS",FREEPORT, BAHAMAS
I94PRTL,FCA,"GLACIER NATIONAL PARK, MT",GLACIER NATIONAL PARK, MT
I94PRTL,FER,"FERRY, WA",FERRY, WA
I94PRTL,FLX,"FALLON MUNICIPAL AIRPORT, NV",FALLON MUNICIPAL AIRPORT, NV
I94PRTL,FMY,"FORT MYERS, FL",FORT MYERS, FL
I94PRTL,FOK,"SUFFOLK COUNTY, NY",SUFFOLK COUNTY, NY
I94PRTL,FOP,"MORRIS FIELDS AAF, NC",MORRIS FIELDS AAF, NC
I94PRTL,FOR,"FOREST CITY, ME",FOREST CITY, ME
I94PRTL,FOU,"FOUGAMOU #ARPT, GABON",FOUGAMOU #ARPT, GABON
I94PRTL,FPF,"FORT PIERCE, FL",FORT PIERCE, FL
I94PRTL,FPR,"ST LUCIE COUNTY, FL",ST LUCIE COUNTY, FL
I94PRTL,FPT,"FREEPORT, TX",FREEPORT, TX
I94PRTL,FRB,"FAIRBANKS, AK",FAIRBANKS, AK
I94PRTL,FRE,"FRESNO, CA",FRESNO, CA
I94PRTL,FRG,Collapsed (FOK) 06/15,,
I94PRTL,FRI,"FRIDAY HARBOR, WA",FRIDAY HARBOR, WA
I94PRTL,FRK,"FREDERIKSTED, VI",FREDERIKSTED, VI
I94PRTL,FRN,"FERNANDINA, FL",FERNANDINA, FL
I94PRTL,FRT,"FORTUNA, ND",FORTUNA, ND
I94PRTL,FSC,No PORT Code (FSC),,
I94PRTL,FTB,No PORT Code (FTB),,
I94PRTL,FTC,"FORT COVINGTON, NY",FORT COVINGTON, NY
I94PRTL,FTF,"FORT FAIRFIELD, ME",FORT FAIRFIELD, ME
I94PRTL,FTH,"FORT HANCOCK, TX",FORT HANCOCK, TX
I94PRTL,FTK,"FORT KENT, ME",FORT KENT, ME
I94PRTL,FTL,"FORT LAUDERDALE, FL",FORT LAUDERDALE, FL
I94PRTL,FWA,"FRONTIER, WA",FRONTIER, WA
I94PRTL,GAC,No PORT Code (GAC),,
I94PRTL,GAL,"GALVESTON, TX",GALVESTON, TX
I94PRTL,GAR,"GARY, IN",GARY, IN
I94PRTL,GCM,"GRAND CAYMAN, CAYMAN ISLAND",GRAND CAYMAN, CAYMAN ISLAND
I94PRTL,GDL,"GUADALAJARA, MIGUEL HIDAL, MX",GUADALAJARA, MIGUEL HIDAL
I94PRTL,GEO,"GEORGETOWN, SC",GEORGETOWN, SC
I94PRTL,GGW,"GLASGOW, MT",GLASGOW, MT
I94PRTL,GLO,"GLOUCESTER, MA",GLOUCESTER, MA
I94PRTL,GMT,No PORT Code (GMT),,
I94PRTL,GNV,"J R ALISON MUNI - GAINESVILLE, FL",J R ALISON MUNI - GAINESVILLE, FL
I94PRTL,GPI,No PORT Code (GPI),,
I94PRTL,GPM,"GRAND PORTAGE, MN",GRAND PORTAGE, MN
I94PRTL,GPT,"BILOXI REGIONAL, MS",BILOXI REGIONAL, MS
I94PRTL,GRB,"GREEN BAY, WI",GREEN BAY, WI
I94PRTL,GRE,"GREAT FALLS, MT",GREAT FALLS, MT
I94PRTL,GRF,"GRAND FORKS, ND",GRAND FORKS, ND
I94PRTL,GRO,"GROSSE ISLE, MI",GROSSE ISLE, MI
I94PRTL,GRP,"GRAND RAPIDS, MI",GRAND RAPIDS, MI
